employee_id,department,region,tenure_years,remote_worker,salary_band
60,Customer Success,India,7.3,1,Junior
61,Sales,India,7.0,0,Senior
62,Operations,France,12.5,1,Lead
63,Marketing,Canada,12.6,1,Lead
64,Finance,France,6.6,0,Senior
65,Operations,UK,11.1,1,Senior
66,Operations,India,6.9,1,Senior
67,Customer Success,Germany,9.1,1,Junior
68,Finance,USA,5.3,1,Lead
69,Operations,Canada,12.7,1,Lead
70,Sales,India,9.9,1,Senior
71,Sales,Canada,13.9,0,Mid
72,Finance,Canada,1.9,0,Mid
73,Sales,India,3.6,1,Senior
74,HR,UK,10.4,0,Mid
75,Engineering,USA,1.1,0,Senior
76,Operations,UK,14.3,1,Lead
77,Finance,Germany,1.9,1,Mid
78,Engineering,Germany,6.9,0,Junior
79,HR,UK,12.7,0,Lead
80,HR,Germany,2.0,1,Mid
81,Customer Success,Canada,8.9,0,Lead
82,Engineering,UK,7.9,1,Lead
83,Operations,UK,8.7,0,Senior
84,Operations,Germany,7.5,1,Senior
85,HR,Germany,2.4,1,Lead
86,Operations,France,9.3,0,Junior
87,Finance,UK,3.3,0,Lead
88,Operations,USA,5.0,0,Senior
89,Operations,India,9.8,1,Senior
90,Sales,France,9.4,0,Mid
91,Finance,Germany,14.5,1,Lead
92,Marketing,France,8.0,1,Senior
93,Finance,Germany,13.8,0,Mid
94,Engineering,Germany,7.1,0,Lead
95,Operations,Germany,13.4,0,Lead
96,Engineering,USA,5.2,0,Lead
97,Marketing,UK,13.2,0,Mid
98,Finance,India,1.2,1,Mid
99,Customer Success,France,7.3,0,Mid
100,Sales,UK,1.9,1,Mid
101,Finance,France,9.2,1,Lead
102,Marketing,USA,1.0,1,Lead
103,Engineering,UK,4.6,0,Junior
104,Marketing,UK,13.2,0,Junior
105,Sales,UK,7.7,1,Senior
106,Finance,USA,10.7,1,Lead
107,Customer Success,India,12.9,1,Junior
108,Engineering,Canada,1.7,1,Mid
109,Customer Success,USA,2.1,0,Mid
110,Customer Success,USA,11.1,1,Lead
111,Engineering,France,9.9,1,Junior
112,Marketing,Germany,9.1,0,Senior
113,Engineering,France,3.9,1,Mid
114,Sales,Canada,4.7,0,Senior
115,Marketing,UK,10.5,1,Mid
116,Finance,France,12.6,1,Lead
117,Marketing,UK,13.7,1,Senior
118,Finance,Germany,13.4,0,Junior
119,Sales,Canada,14.9,1,Senior
120,Finance,USA,11.7,1,Junior
121,Finance,UK,12.3,1,Mid
122,Sales,UK,6.3,0,Senior
123,Finance,India,7.2,0,Mid
124,Marketing,Germany,7.2,0,Mid
125,Engineering,USA,9.5,0,Senior
126,Operations,USA,1.8,0,Senior
127,Operations,India,6.2,0,Mid
128,Finance,UK,4.6,1,Senior
129,Operations,France,1.1,1,Senior
130,HR,USA,8.1,0,Lead
131,Sales,USA,13.8,0,Junior
132,Engineering,Germany,4.9,0,Mid
133,Customer Success,Germany,5.3,1,Junior
134,Finance,India,8.1,0,Lead
135,Finance,India,8.5,0,Senior
136,Finance,USA,1.6,1,Lead
137,Engineering,India,0.5,1,Senior
138,Sales,India,4.5,1,Lead
139,Marketing,USA,9.5,1,Lead
140,Engineering,France,1.7,1,Mid
141,Customer Success,Germany,2.2,0,Lead
142,HR,France,7.4,0,Mid
143,Sales,France,4.8,1,Junior
144,Finance,Canada,9.0,0,Senior
145,Marketing,Germany,5.2,0,Senior
146,Marketing,India,13.7,0,Senior
147,Marketing,UK,3.1,1,Senior
148,Finance,Canada,1.1,0,Senior
149,Sales,USA,3.8,0,Junior
150,Engineering,France,14.5,0,Lead
151,Customer Success,Canada,10.7,0,Senior
152,Sales,Canada,5.7,0,Mid
153,Finance,Canada,5.3,0,Lead
154,Finance,Germany,4.3,1,Lead
155,Sales,France,5.1,1,Mid
156,Sales,UK,12.8,0,Junior
157,Customer Success,UK,3.7,1,Mid
158,Sales,India,2.9,1,Junior
159,Finance,India,11.0,1,Senior
160,Customer Success,India,6.3,0,Mid
161,Customer Success,Canada,5.5,0,Lead
162,Finance,France,6.2,0,Junior
163,Marketing,Germany,9.5,1,Senior
164,Finance,India,12.8,0,Junior
165,Operations,France,6.5,0,Senior
166,Customer Success,India,11.4,1,Junior
167,Sales,UK,2.1,1,Mid
168,Customer Success,India,9.1,1,Junior
169,HR,Germany,10.0,1,Lead
170,Finance,India,8.0,0,Mid
171,Sales,USA,9.7,1,Lead
172,Finance,India,14.2,0,Lead
173,Finance,Canada,4.8,1,Senior
174,Engineering,India,6.4,0,Mid
175,Sales,Germany,10.1,0,Senior
176,Finance,USA,8.3,0,Mid
177,Marketing,India,5.5,1,Junior
178,Customer Success,Germany,0.8,1,Mid
179,HR,India,5.2,0,Senior
180,Marketing,USA,13.4,0,Senior
181,Finance,France,12.8,0,Lead
182,Sales,UK,4.4,0,Junior
183,Engineering,India,7.9,0,Lead
184,HR,Germany,0.9,1,Junior
185,Finance,France,9.1,0,Senior
186,Operations,USA,11.6,1,Lead
187,Sales,Canada,13.7,1,Junior
188,Marketing,USA,9.4,1,Lead
189,Finance,Germany,1.1,1,Junior
190,Operations,France,7.9,1,Junior
191,HR,France,3.2,1,Lead
192,Sales,Canada,3.7,0,Senior
193,Sales,India,3.4,1,Mid
194,Marketing,UK,1.5,1,Lead
195,HR,USA,10.4,1,Mid
196,HR,UK,8.9,1,Lead
197,Marketing,France,2.2,0,Senior
198,Sales,Germany,9.5,0,Mid
199,Customer Success,Canada,3.8,1,Senior
200,HR,India,4.3,1,Lead
201,Engineering,USA,7.4,1,Lead
202,Sales,Canada,13.5,0,Senior
203,Marketing,Canada,5.3,0,Mid
204,Marketing,India,14.4,0,Mid
205,Marketing,Canada,10.2,0,Lead
206,Engineering,India,9.7,1,Junior
207,Sales,Canada,1.8,1,Lead
208,Sales,Germany,6.6,1,Lead
209,Sales,Germany,1.5,0,Mid
210,HR,India,2.5,1,Senior
211,Operations,UK,12.4,0,Junior
212,Marketing,India,6.4,1,Senior
213,HR,Canada,1.1,0,Junior
214,Sales,Germany,2.3,1,Lead
215,HR,USA,8.1,0,Lead
216,Customer Success,Canada,10.7,1,Senior
217,Operations,USA,5.0,0,Mid
218,Operations,France,8.7,1,Senior
219,Sales,France,2.0,0,Junior
220,HR,France,6.7,1,Lead
221,Operations,UK,6.6,0,Lead
222,Engineering,India,3.5,0,Senior
223,Customer Success,Canada,3.6,1,Lead
224,Operations,USA,6.6,0,Senior
225,HR,India,6.5,0,Junior
226,HR,India,7.9,0,Senior
227,Finance,India,13.5,1,Lead
228,Marketing,Canada,3.3,0,Junior
229,HR,France,13.4,0,Lead
230,Operations,UK,3.1,1,Mid
231,Sales,Germany,11.1,1,Junior
232,HR,India,5.1,1,Lead
233,Operations,USA,1.2,0,Junior
234,HR,UK,0.9,1,Lead
235,Marketing,Canada,0.7,0,Senior
236,Customer Success,USA,10.0,1,Mid
237,Marketing,Germany,6.2,0,Junior
238,Marketing,France,5.2,0,Mid
239,Customer Success,Canada,3.7,0,Mid
240,Engineering,India,1.5,1,Mid
241,Operations,France,10.0,1,Mid
242,Sales,USA,7.8,0,Junior
243,Marketing,Germany,14.8,0,Junior
244,Marketing,Canada,14.8,0,Senior
245,Finance,Canada,2.3,0,Senior
246,Finance,UK,10.2,0,Senior
247,Operations,India,7.4,1,Junior
248,Operations,USA,11.9,0,Lead
249,Engineering,Canada,13.7,0,Lead
250,Sales,USA,2.8,0,Junior
251,HR,Germany,2.1,1,Senior
252,Engineering,India,6.6,1,Senior
253,Operations,Germany,3.4,0,Mid
254,Customer Success,UK,4.2,1,Junior
255,Sales,India,11.3,0,Lead
256,Finance,France,14.7,0,Junior
257,Sales,Germany,3.2,0,Lead
258,Finance,India,2.0,0,Lead
259,Engineering,Canada,12.7,0,Lead
260,Operations,USA,12.0,1,Senior
261,Marketing,Germany,4.0,1,Lead
262,Operations,USA,13.7,1,Mid
263,HR,Germany,8.2,0,Lead
264,Customer Success,UK,7.0,1,Senior
265,Marketing,UK,2.1,1,Junior
266,Customer Success,USA,2.8,0,Senior
267,Engineering,Germany,10.4,1,Mid
268,Engineering,India,2.8,0,Lead
269,Customer Success,France,11.6,0,Mid
270,Sales,Canada,8.8,0,Senior
271,Operations,Germany,1.8,0,Mid
272,Marketing,Germany,7.0,1,Mid
273,Finance,India,2.3,1,Mid
274,Customer Success,UK,2.0,0,Lead
275,Finance,Canada,9.7,1,Mid
276,Finance,Canada,14.2,0,Junior
277,Customer Success,USA,7.0,0,Lead
278,Marketing,India,3.5,1,Junior
279,Sales,Germany,1.5,1,Junior
280,Engineering,Canada,2.0,1,Senior
281,HR,USA,3.9,0,Lead
282,HR,India,10.0,1,Lead
283,Sales,Germany,10.4,1,Senior
284,Marketing,Germany,7.8,1,Senior
285,Operations,UK,10.9,1,Senior
286,Finance,France,2.4,0,Mid
287,HR,USA,4.4,1,Mid
288,Operations,UK,4.0,1,Mid
289,Marketing,India,12.0,0,Mid
290,Engineering,USA,4.2,1,Mid
291,Marketing,Germany,10.3,1,Mid
292,Engineering,Germany,11.8,0,Lead
293,Engineering,India,7.4,0,Mid
294,Customer Success,France,2.2,1,Senior
295,Engineering,India,13.2,0,Lead
296,Customer Success,USA,7.3,0,Senior
297,Marketing,Germany,9.4,1,Lead
298,Engineering,India,8.8,0,Senior
299,Operations,UK,8.7,1,Senior
300,Operations,India,0.7,1,Lead
301,Sales,Germany,1.8,0,Lead
302,Operations,Canada,12.9,0,Senior
303,Marketing,Germany,8.3,1,Mid
304,Finance,Canada,4.4,1,Junior
305,Sales,France,9.6,0,Lead
306,Sales,India,3.6,1,Senior
307,Finance,USA,10.4,0,Senior
308,Finance,India,10.7,1,Senior
309,Operations,India,4.4,1,Lead
310,Marketing,France,8.3,1,Lead
311,Operations,India,13.6,0,Junior
312,HR,Germany,9.2,1,Mid
313,Marketing,India,12.7,0,Mid
314,Marketing,Canada,6.3,1,Junior
315,Finance,UK,1.3,0,Mid
316,Customer Success,India,5.4,1,Junior
317,Marketing,France,5.3,0,Junior
318,Operations,France,9.3,1,Senior
319,Operations,France,0.5,0,Lead
320,Operations,India,2.4,1,Lead
321,HR,Germany,7.0,1,Senior
322,Sales,Germany,11.5,1,Senior
323,Engineering,Germany,3.3,1,Junior
324,Marketing,Canada,1.5,1,Junior
325,HR,USA,14.1,0,Junior
326,Finance,Germany,7.4,1,Junior
327,Sales,India,4.7,0,Mid
328,Customer Success,USA,5.7,0,Lead
329,Marketing,UK,4.9,1,Senior
330,Sales,USA,8.5,1,Mid
331,Engineering,France,14.5,1,Junior
332,Customer Success,USA,3.5,0,Mid
333,Marketing,Canada,8.9,1,Senior
334,HR,Germany,6.8,0,Junior
335,Engineering,India,4.4,1,Lead
336,Operations,France,12.5,1,Senior
337,Engineering,France,10.2,1,Mid
338,Finance,France,3.9,1,Lead
339,Marketing,Canada,4.1,1,Mid
340,Marketing,France,9.8,1,Junior
341,Customer Success,India,7.7,0,Senior
342,Finance,UK,4.0,0,Mid
343,Sales,India,12.2,1,Senior
344,Engineering,France,10.3,1,Junior
345,Customer Success,Germany,13.8,1,Lead
346,Finance,Germany,7.5,1,Junior
347,Customer Success,Canada,6.1,1,Mid
348,Operations,Germany,14.8,1,Junior
349,Sales,France,5.3,0,Senior
350,Operations,India,0.7,1,Mid
351,Operations,USA,1.4,0,Lead
352,Finance,India,7.6,1,Lead
353,Finance,UK,1.7,0,Senior
354,HR,UK,11.8,1,Lead
355,Engineering,UK,9.7,1,Junior
356,Engineering,France,12.1,1,Junior
357,Engineering,India,13.4,0,Lead
358,Operations,USA,11.6,0,Mid
359,Finance,France,11.5,0,Senior
360,HR,Germany,14.3,0,Lead
361,Customer Success,Canada,7.8,0,Mid
362,Finance,USA,2.2,0,Junior
363,Customer Success,UK,3.1,0,Lead
364,Operations,France,10.8,0,Lead
365,Finance,France,5.0,0,Junior
366,Marketing,USA,4.3,1,Lead
367,HR,Germany,3.3,1,Senior
368,Sales,Canada,13.7,1,Lead
369,Sales,India,2.8,0,Mid
370,Customer Success,France,13.2,0,Junior
371,Finance,Canada,1.7,0,Junior
372,Finance,UK,11.6,1,Junior
373,Marketing,Canada,11.4,0,Junior
374,Operations,India,5.6,1,Junior
375,HR,Canada,10.3,1,Junior
376,Finance,Germany,11.3,0,Junior
377,HR,India,3.5,1,Senior
378,Marketing,USA,11.4,0,Mid
379,Customer Success,Germany,6.9,0,Lead
380,Operations,France,5.4,1,Senior
381,Engineering,Germany,8.8,0,Mid
382,Engineering,Canada,0.7,0,Junior
383,Sales,France,10.3,1,Junior
384,Engineering,India,9.8,0,Junior
385,Finance,France,4.3,0,Mid
386,Sales,UK,1.9,1,Mid
387,Sales,India,1.8,1,Junior
388,Finance,UK,6.1,1,Lead
389,HR,USA,6.6,1,Lead
390,Engineering,Germany,6.0,1,Senior
391,Marketing,UK,13.7,1,Senior
392,Sales,UK,11.9,1,Lead
393,HR,India,3.9,0,Junior
394,Engineering,Canada,3.0,1,Junior
395,Customer Success,India,12.8,1,Lead
396,HR,India,10.2,0,Junior
397,HR,France,9.9,0,Junior
398,Operations,India,2.7,1,Mid
399,Operations,France,2.0,1,Junior
400,Engineering,UK,12.3,1,Senior
401,Sales,India,0.9,0,Lead
402,Operations,Canada,4.8,0,Senior
403,Engineering,UK,14.4,1,Mid
404,HR,Germany,2.1,1,Junior
405,Sales,USA,3.1,0,Lead
406,Sales,Canada,3.2,1,Lead
407,Finance,France,14.6,0,Mid
408,Finance,Canada,1.5,1,Mid
409,Marketing,India,5.9,1,Mid
410,Finance,France,4.9,1,Senior
411,Engineering,UK,2.1,0,Senior
412,Marketing,France,2.3,1,Lead
413,HR,Germany,1.8,1,Junior
414,Operations,France,12.7,0,Lead
415,Customer Success,Canada,2.4,1,Senior
416,Finance,USA,8.4,1,Junior
417,HR,Canada,12.2,0,Mid
418,Engineering,Germany,12.4,1,Junior
419,Customer Success,Germany,4.4,1,Senior
420,Operations,USA,13.2,1,Lead
421,Customer Success,USA,2.3,1,Senior
422,Finance,India,14.7,0,Mid
423,Engineering,France,10.7,1,Lead
424,Engineering,UK,7.7,0,Senior
425,Marketing,France,13.9,1,Mid
426,Marketing,France,6.7,1,Senior
427,Engineering,USA,14.1,0,Mid
428,HR,France,13.3,1,Lead
429,Engineering,USA,4.7,0,Senior
430,Marketing,Canada,12.2,1,Mid
431,Customer Success,UK,4.3,1,Mid
432,Sales,Canada,9.1,0,Lead
433,Marketing,USA,13.8,1,Lead
434,Engineering,UK,11.1,1,Senior
435,HR,Canada,14.1,0,Junior
436,Engineering,Canada,14.5,0,Mid
437,Finance,India,10.5,1,Senior
438,Customer Success,France,8.4,1,Senior
439,Customer Success,India,2.7,1,Mid
440,Sales,UK,13.7,1,Senior
441,HR,India,6.6,0,Junior
442,Engineering,Germany,10.3,1,Mid
443,Finance,Germany,2.8,1,Junior
444,Operations,UK,10.1,0,Lead
445,Engineering,France,0.9,0,Junior
446,Engineering,India,11.8,1,Lead
447,Operations,UK,9.8,1,Senior
448,Marketing,Canada,13.3,0,Mid
449,Sales,India,14.9,0,Mid
450,Marketing,France,14.9,0,Senior
451,HR,USA,9.5,1,Lead
452,HR,Canada,3.8,1,Junior
453,Marketing,India,10.5,0,Senior
454,Engineering,Canada,1.7,1,Mid
455,HR,France,9.8,1,Mid
456,Sales,Germany,10.5,1,Mid
457,Engineering,India,5.4,1,Senior
458,HR,USA,8.8,0,Junior
459,Finance,France,3.2,0,Junior
460,Finance,Germany,7.9,0,Senior
461,Finance,India,13.6,1,Senior
462,Sales,Canada,8.4,0,Mid
463,Customer Success,India,9.2,1,Senior
464,Marketing,India,5.2,0,Junior
465,Marketing,France,5.7,0,Lead
466,Engineering,USA,2.5,0,Mid
467,Finance,USA,2.4,0,Mid
468,HR,France,4.0,0,Mid
469,Operations,India,2.6,0,Mid
470,Operations,UK,7.8,1,Junior
471,Marketing,Canada,14.2,1,Junior
472,Customer Success,India,9.5,1,Mid
473,HR,Germany,13.6,1,Senior
474,Customer Success,USA,12.3,1,Junior
475,Marketing,India,5.8,1,Senior
476,HR,Canada,8.4,0,Junior
477,Operations,UK,2.8,1,Junior
478,Sales,USA,13.4,0,Lead
479,HR,UK,13.1,0,Junior
480,HR,Germany,3.8,0,Mid
481,Operations,India,9.4,0,Mid
482,Operations,France,14.3,0,Senior
483,Engineering,UK,2.7,0,Lead
484,Sales,Canada,1.9,0,Junior
485,Engineering,France,1.5,0,Lead
486,HR,USA,7.3,0,Junior
487,HR,Germany,1.0,0,Lead
488,Marketing,India,14.2,0,Mid
489,Engineering,France,8.1,0,Mid
490,Marketing,Germany,13.1,0,Mid
491,Engineering,India,10.7,0,Mid
492,Finance,France,1.6,0,Junior
493,Sales,India,0.9,0,Junior
494,Finance,India,5.9,1,Lead
495,Operations,India,12.6,0,Senior
496,Operations,India,13.9,1,Senior
497,Marketing,Germany,4.1,0,Mid
498,Engineering,France,3.5,1,Junior
499,Marketing,Germany,12.6,1,Lead
500,Marketing,USA,2.5,1,Mid
501,Operations,Germany,5.6,1,Senior
502,HR,France,8.6,1,Mid
503,Finance,Germany,9.9,1,Senior
504,Customer Success,Germany,1.9,1,Junior
505,Sales,India,1.0,0,Junior
506,Sales,Germany,3.2,0,Mid
507,HR,Germany,6.5,1,Mid
508,Engineering,Germany,3.7,1,Junior
509,Finance,Canada,4.7,1,Lead
510,Operations,India,1.8,0,Lead
511,Finance,India,5.5,1,Lead
512,Customer Success,Canada,10.5,1,Mid
513,Engineering,India,7.7,1,Junior
514,Finance,UK,14.6,0,Senior
515,Engineering,Germany,10.0,1,Senior
516,Operations,USA,2.5,0,Mid
517,Engineering,USA,13.5,1,Lead
518,Engineering,USA,1.1,1,Lead
519,Sales,USA,12.7,1,Senior
520,Marketing,UK,13.1,0,Junior
521,Sales,France,12.2,1,Mid
522,Engineering,France,5.1,0,Mid
523,HR,France,0.7,0,Junior
524,Marketing,UK,7.5,1,Junior
525,Engineering,India,1.5,0,Lead
526,Customer Success,Germany,4.9,0,Mid
527,HR,UK,1.0,0,Senior
528,Sales,USA,14.3,1,Lead
529,Engineering,Canada,12.1,1,Junior
530,Marketing,India,11.4,0,Junior
531,Operations,USA,6.5,0,Junior
532,HR,Germany,3.6,1,Junior
533,Customer Success,UK,14.3,0,Lead
534,Operations,France,3.3,0,Mid
535,HR,USA,8.8,0,Mid
536,HR,USA,8.6,0,Lead
537,Customer Success,UK,3.7,0,Senior
538,Customer Success,Canada,1.7,0,Mid
539,Finance,France,4.9,1,Senior
540,Operations,Canada,12.6,1,Lead
541,Engineering,Germany,5.3,1,Senior
542,Operations,UK,13.0,0,Lead
543,Customer Success,India,10.7,0,Lead
544,Customer Success,USA,2.8,1,Junior
545,Sales,India,11.7,1,Senior
546,Finance,India,2.8,1,Senior
547,Customer Success,France,1.5,1,Lead
548,Operations,USA,2.1,0,Junior
549,HR,Canada,5.1,1,Senior
550,Sales,India,10.4,0,Senior
551,Finance,Germany,7.7,1,Lead
552,Marketing,Germany,5.9,0,Mid
553,Operations,Germany,12.1,0,Lead
554,Sales,UK,14.7,1,Lead
555,Finance,UK,0.6,1,Mid
556,HR,India,4.4,0,Mid
557,HR,Canada,11.1,1,Junior
558,Marketing,UK,4.0,0,Mid
559,HR,Canada,14.4,1,Lead
560,Marketing,India,3.0,1,Mid
561,Finance,India,9.7,0,Lead
562,Engineering,UK,10.5,1,Mid
563,Finance,Canada,14.6,0,Mid
564,Operations,Germany,14.6,1,Mid
565,Engineering,UK,6.6,0,Mid
566,Marketing,Canada,10.8,1,Mid
567,Customer Success,France,9.2,1,Mid
568,Marketing,Canada,2.2,0,Junior
569,Finance,Germany,0.5,1,Junior
570,Marketing,Canada,15.0,0,Lead
571,Marketing,USA,14.9,1,Lead
572,HR,Canada,4.4,1,Senior
573,Sales,Canada,6.8,1,Senior
574,Engineering,India,9.2,1,Lead
575,Operations,UK,10.0,1,Senior
576,Engineering,India,14.7,0,Lead
577,Sales,Germany,10.7,0,Senior
578,Finance,India,12.4,1,Lead
579,Customer Success,UK,9.0,0,Senior
580,Sales,USA,4.2,0,Mid
581,Finance,UK,2.9,1,Lead
582,Operations,UK,2.4,1,Junior
583,Sales,UK,10.1,1,Senior
584,Customer Success,USA,3.6,1,Junior
585,Engineering,France,4.1,0,Mid
586,HR,USA,3.3,0,Senior
587,Engineering,USA,8.2,0,Mid
588,Customer Success,UK,14.6,0,Lead
589,HR,Germany,6.5,1,Mid
590,Finance,India,14.4,0,Junior
591,HR,Germany,10.5,0,Lead
592,HR,India,13.6,1,Senior
593,Sales,UK,8.3,1,Junior
594,Finance,Canada,14.0,1,Mid
595,Engineering,Germany,14.5,1,Lead
596,Sales,France,0.8,0,Mid
597,Sales,India,5.8,0,Senior
598,Operations,India,11.3,1,Junior
599,Finance,Canada,12.5,1,Senior
600,Customer Success,Canada,5.9,1,Lead
601,Customer Success,India,7.4,0,Mid
602,Marketing,Germany,13.4,0,Lead
603,Marketing,UK,13.1,0,Mid
604,Customer Success,France,1.2,0,Lead
605,HR,France,14.3,1,Lead
606,HR,USA,7.3,1,Lead
607,Marketing,Canada,4.0,0,Junior
608,Sales,France,4.8,0,Mid
609,Customer Success,Germany,10.2,1,Junior
610,Finance,UK,9.2,0,Senior
611,Engineering,UK,13.2,1,Senior
612,Customer Success,India,0.9,1,Senior
613,Operations,UK,11.2,1,Mid
614,Engineering,France,3.5,0,Senior
615,Finance,Germany,9.3,0,Junior
616,Operations,USA,1.0,1,Senior
617,Operations,Canada,10.2,1,Junior
618,Sales,Canada,8.9,1,Junior
619,Customer Success,UK,10.6,0,Senior
620,Sales,Germany,14.2,1,Junior
621,Engineering,UK,4.1,1,Junior
622,Operations,India,11.6,0,Mid
623,Engineering,France,10.4,0,Senior
624,Engineering,UK,6.6,0,Senior
625,HR,Germany,7.9,1,Senior
626,Finance,USA,7.5,1,Lead
627,Finance,Germany,5.6,1,Junior
628,Operations,UK,12.7,1,Senior
629,Sales,USA,2.1,0,Mid
630,Finance,USA,14.2,1,Lead
631,Marketing,Germany,8.4,1,Junior
632,Finance,USA,11.5,0,Mid
633,Sales,USA,2.3,0,Lead
634,Engineering,UK,14.7,1,Lead
635,HR,Germany,9.3,1,Lead
636,Operations,Germany,7.7,0,Mid
637,Customer Success,Canada,1.5,1,Junior
638,Marketing,USA,3.6,0,Junior
639,Operations,India,6.9,1,Mid
640,Sales,France,12.7,0,Mid
641,Operations,France,8.0,0,Lead
642,Marketing,India,9.1,1,Lead
643,Finance,Canada,8.4,0,Mid
644,Customer Success,UK,7.8,0,Junior
645,Sales,USA,5.6,1,Mid
646,Finance,India,1.4,1,Lead
647,Sales,India,0.6,1,Senior
648,Finance,India,12.3,0,Lead
649,Engineering,India,10.0,1,Mid
650,Operations,Canada,4.8,1,Mid
651,Finance,France,14.5,1,Mid
652,Marketing,India,12.6,0,Lead
653,Customer Success,Canada,4.5,0,Lead
654,HR,Canada,4.8,1,Junior
655,Marketing,Canada,8.8,0,Mid
656,Engineering,Canada,13.0,1,Mid
657,HR,India,13.7,1,Junior
658,Operations,Germany,11.3,1,Junior
659,Engineering,USA,11.9,1,Junior
660,Sales,USA,13.3,0,Lead
661,Finance,France,7.8,1,Junior
662,Finance,Germany,10.4,1,Lead
663,Customer Success,Canada,2.7,0,Junior
664,HR,UK,1.2,1,Senior
665,Sales,Germany,6.8,1,Junior
666,HR,USA,12.9,0,Senior
667,HR,Germany,10.3,0,Lead
668,Finance,Canada,11.2,1,Junior
669,Engineering,Canada,6.0,0,Lead
670,Finance,Canada,2.4,1,Mid
671,Engineering,USA,0.5,1,Junior
672,Finance,USA,15.0,1,Lead
673,Finance,UK,12.2,0,Senior
674,Marketing,Germany,14.2,0,Mid
675,Sales,UK,5.0,1,Lead
676,Operations,Canada,2.6,0,Senior
677,Operations,India,7.0,0,Senior
678,Sales,Canada,4.7,1,Mid
679,Engineering,Germany,11.7,1,Lead
680,Engineering,UK,11.6,1,Mid
681,Customer Success,Germany,4.1,1,Senior
682,Operations,France,10.9,0,Lead
683,Operations,UK,12.6,1,Lead
684,Engineering,Germany,7.2,0,Senior
685,Engineering,France,11.6,1,Lead
686,Engineering,USA,3.1,1,Mid
687,Customer Success,India,10.8,1,Lead
688,Customer Success,USA,14.1,1,Lead
689,Engineering,UK,1.9,1,Mid
690,Operations,France,6.2,0,Senior
691,HR,Germany,14.1,1,Senior
692,Finance,USA,5.8,1,Senior
693,Customer Success,Canada,4.0,0,Mid
694,Sales,India,1.3,0,Senior
695,Finance,UK,3.8,0,Junior
696,Marketing,UK,11.2,0,Senior
697,Engineering,India,8.5,1,Lead
698,Operations,Canada,11.4,0,Mid
699,Operations,USA,5.2,0,Senior
700,Operations,USA,2.8,1,Lead
701,Marketing,UK,2.8,0,Junior
702,Operations,UK,12.3,0,Lead
703,Finance,Germany,11.4,0,Senior
704,Operations,Germany,11.7,1,Junior
705,Sales,Canada,8.6,1,Mid
706,Finance,Canada,5.1,0,Junior
707,Customer Success,France,12.0,1,Mid
708,Finance,USA,13.1,1,Mid
709,HR,USA,9.8,0,Lead
710,Finance,Canada,13.7,1,Mid
711,Operations,Germany,4.9,1,Senior
712,Operations,USA,8.6,1,Senior
713,Sales,Germany,14.5,0,Lead
714,Marketing,Canada,2.1,0,Lead
715,HR,Germany,11.1,0,Mid
716,Engineering,Canada,1.2,0,Lead
717,Finance,Canada,13.1,0,Mid
718,HR,Canada,4.8,1,Mid
719,Sales,UK,3.4,0,Senior
